,NEIBORHOOD GROUP,CLASS,SALE PRICE
0,Manhattan,C,6625000
3,Manhattan,C,3936272
4,Manhattan,C,8000000
6,Manhattan,C,3192840
9,Manhattan,D,16232000
11,Manhattan,D,10350000
13,Manhattan,C,499000
15,Manhattan,C,529500
16,Manhattan,C,423000
17,Manhattan,C,501000
18,Manhattan,C,450000
19,Manhattan,C,510000
21,Manhattan,C,350000
22,Manhattan,C,11900000
23,Manhattan,C,11900000
24,Manhattan,C,350000
25,Manhattan,C,404000
26,Manhattan,C,535000
27,Manhattan,C,1400000
28,Manhattan,C,866000
29,Manhattan,C,355000
31,Manhattan,C,805000
32,Manhattan,C,475000
33,Manhattan,C,450000
34,Manhattan,C,450000
35,Manhattan,C,810000
37,Manhattan,C,300000
38,Manhattan,C,300000
39,Manhattan,C,579000
40,Manhattan,C,1500000
41,Manhattan,C,25000
42,Manhattan,C,512000
43,Manhattan,C,410000
44,Manhattan,C,500000
45,Manhattan,C,510000
46,Manhattan,C,475000
47,Manhattan,C,789019
50,Manhattan,C,425000
51,Manhattan,C,490000
52,Manhattan,C,409000
53,Manhattan,C,415000
54,Manhattan,C,420000
55,Manhattan,C,435000
56,Manhattan,C,575000
57,Manhattan,C,605000
58,Manhattan,C,799000
59,Manhattan,C,800000
60,Manhattan,C,54993
61,Manhattan,C,410000
62,Manhattan,C,1475000
63,Manhattan,C,335000
64,Manhattan,C,490000
65,Manhattan,C,750000
66,Manhattan,C,780000
67,Manhattan,C,2400000
68,Manhattan,C,380000
69,Manhattan,C,430000
70,Manhattan,D,499900
71,Manhattan,D,1400000
72,Manhattan,D,694000
73,Manhattan,R,28000000
75,Manhattan,R,52625000
76,Manhattan,R,620000
79,Manhattan,R,762669
80,Manhattan,R,772851
81,Manhattan,R,1034880
85,Manhattan,R,800000
86,Manhattan,R,2295759
87,Manhattan,R,875000
95,Manhattan,R,701341
100,Manhattan,R,753421
104,Manhattan,R,771980
112,Manhattan,R,1247356
116,Manhattan,R,2150000
117,Manhattan,R,550000
118,Manhattan,R,1085000
122,Manhattan,R,910000
123,Manhattan,R,910000
124,Manhattan,R,730000
125,Manhattan,R,725000
127,Manhattan,R,1300000
128,Manhattan,R,770000
129,Manhattan,R,1750000
130,Manhattan,R,1150000
131,Manhattan,R,2085000
133,Manhattan,R,1680112
134,Manhattan,R,1150000
135,Manhattan,R,1308451
136,Manhattan,R,1863397
137,Manhattan,R,1603743
138,Manhattan,R,1781937
139,Manhattan,R,1245000
140,Manhattan,R,1200000
141,Manhattan,R,1900000
142,Manhattan,R,1150000
143,Manhattan,R,1800000
144,Manhattan,R,1318633
145,Manhattan,R,1385000
147,Manhattan,R,2150000
148,Manhattan,R,1236300
149,Manhattan,R,1934675
150,Manhattan,R,1237000
151,Manhattan,R,1461188
152,Manhattan,R,1957475
153,Manhattan,R,1221900
154,Manhattan,R,2250000
155,Manhattan,R,1495000
156,Manhattan,R,1310000
157,Manhattan,R,1934675
158,Manhattan,R,1250000
159,Manhattan,R,2611811
160,Manhattan,R,4159551
161,Manhattan,R,1303360
162,Manhattan,R,2250000
163,Manhattan,R,2392887
164,Manhattan,R,1578287
165,Manhattan,R,1400093
166,Manhattan,R,4552375
